phenocam_name,lat,lon,roi_type,roi_id,first_date,last_date,site_years,ecoregion,MAP_daymet,MAT_daymet,timeseries_id,Wp,Wcap,has_processed_data
ahwahnee,37.7467,-119.5816,GR,3000,2015-07-28,2020-03-05,4.6,6,871,12.25,1,168,421.18,TRUE
archboldavir,27.176064,-81.21958,AG,1000,2016-11-18,2020-03-05,3.1,8,1306,22.85,2,115.38,378.26,TRUE
archboldavirx,27.166627,-81.219828,AG,1000,2016-05-16,2020-03-05,3.6,8,1300,22.9,3,115.38,378.26,TRUE
archboldpnot,27.187948,-81.200345,AG,1000,2016-05-13,2020-03-05,3.6,8,1301,22.85,4,115.38,378.26,TRUE
archboldpnotx,27.180677,-81.20068,AG,1000,2016-05-16,2020-03-05,3.6,8,1302,22.85,5,115.38,378.26,TRUE
arsgacp1,31.5109,-83.6179,AG,1000,2016-05-10,2020-03-05,3.8,8,1235,19,6,183.84,425.96,TRUE
arsmnswanlake1,45.684508,-95.799703,AG,1000,2015-10-02,2020-03-05,4.4,9,680,6.2,7,200.37,481.02,TRUE
bouldinalfalfa,38.0985,-121.4993,AG,1000,2016-11-03,2020-02-19,3.1,11,452,16.5,8,286.28,807.4,FALSE
bullshoals,36.562833,-93.06663,GR,1000,2013-11-19,2020-03-05,5.8,8,1104,14.1,9,170.35,420.33,TRUE
burnssagebrush,43.4712,-119.6909,SH,1000,2012-10-13,2020-03-05,7.3,10,305,7.45,10,146.94,413.68,TRUE
butte,45.95304,-112.47964,GR,1000,2009-01-11,2020-03-05,10.7,6,365,5.05,11,160.88,356.9,TRUE
cperagm,40.8402,-104.7672,AG,1000,2016-05-19,2020-03-05,3.8,9,385,8.7,12,147.47,426.76,TRUE
cperagm,40.8402,-104.7672,GR,1000,2016-05-19,2020-03-05,3.8,9,385,8.7,13,147.47,426.76,TRUE
cpertgm,40.833,-104.76,GR,1000,2016-05-04,2020-03-05,3.8,9,378,8.75,14,147.47,426.76,TRUE
cperuvb,40.8055764,-104.7558542,GR,1000,2015-07-16,2020-03-05,4.7,9,373,8.9,15,147.47,426.76,TRUE
cucamongasouth,33.622,-116.867,SH,1000,2003-09-29,2019-01-26,8.4,11,483,15.75,16,184.97,438.12,FALSE
gatesofthemountains,46.8262,-111.7107,GR,2000,2011-08-12,2019-02-01,7.1,6,662,2.25,17,160.88,356.9,TRUE
glacier,48.501384,-113.986352,GR,1000,2009-02-07,2020-03-05,11,6,732,6.15,18,160.88,356.9,TRUE
goodwater,39.22848,-92.11936,AG,1000,2015-09-26,2020-03-05,4.5,9,1117,12.15,19,145.29,345.11,FALSE
goodwater,39.22848,-92.11936,AG,1001,2015-09-26,2020-03-05,4.5,9,1117,12.15,20,145.29,345.11,TRUE
grandteton,43.915017,-110.578036,SH,1000,2015-07-28,2020-02-04,3.5,6,767,2.65,21,205.35,498.74,TRUE
harvardfarmnorth,42.520465,-72.182242,AG,1000,2015-11-07,2020-03-05,4.3,5,1364,7.2,22,72.44,284.34,TRUE
harvardfarmsouth,42.522466,-72.182339,AG,1000,2015-11-07,2020-03-05,4.3,5,1364,7.2,23,72.44,284.34,TRUE
harvardgarden,42.5291,-72.1863,AG,1000,2016-06-12,2020-03-05,3.7,5,1344,7.25,24,72.44,284.34,TRUE
hawbeckereddy,40.6608,-77.848849,AG,1000,2015-09-23,2019-05-14,3.4,8,1032,10.15,25,164.17,404.75,TRUE
humnokericea,34.585192,-91.751684,AG,1000,2015-06-25,2020-03-05,4.2,8,1268,16.8,26,184.2,399.45,TRUE
humnokericec,34.588853,-91.7516729,AG,1000,2015-06-25,2020-03-05,4.5,8,1268,16.8,27,184.2,399.45,TRUE
ibp,32.589,-106.847,GR,1000,2014-02-16,2020-03-05,6,10,272,15.85,28,106.47,351.42,TRUE
ibp,32.589,-106.847,SH,1000,2014-02-16,2020-03-05,6,10,272,15.85,29,106.47,351.42,FALSE
ibp,32.589,-106.847,SH,1001,2014-02-16,2020-03-02,6,10,272,15.85,30,106.47,351.42,TRUE
jasperridge,37.402028,-122.22104,GR,1000,2012-03-08,2017-03-09,5,7,707,14.35,31,191.9,427.59,TRUE
jasperridge,37.402028,-122.22104,GR,2000,2017-03-18,2020-03-05,3,7,707,14.35,32,191.9,427.59,TRUE
jerbajada,32.57992,-106.633793,SH,1000,2014-04-20,2020-03-05,5.9,10,340,15.55,33,106.47,351.42,TRUE
jernort,32.619,-106.788,SH,2000,2016-10-28,2020-03-05,3.3,10,272,15.9,34,106.47,351.42,TRUE
jersand,32.515,-106.798,SH,1000,2014-02-28,2020-03-05,6,10,337,15.25,35,106.47,351.42,TRUE
kansas,39.0561,-95.1907,GR,1000,2012-12-03,2019-12-31,6.7,9,1054,12.65,36,184.8,409.95,TRUE
kaweah,36.4435,-118.90925,SH,1000,2011-07-13,2019-09-20,8.2,11,574,17.45,37,161.72,401.63,TRUE
kelloggcorn,42.437536,-85.3225472,AG,1000,2014-05-23,2019-10-05,4.9,8,992,9.15,38,163.61,390.15,TRUE
kelloggcorn2,42.396,-85.3756,AG,1000,2015-07-16,2019-04-11,3.2,8,992,9.2,39,163.61,390.15,TRUE
kelloggcorn3,42.39601,-85.37425,AG,1000,2015-07-16,2020-03-05,3.7,8,992,9.2,40,163.61,390.15,TRUE
kelloggcornsoy2,42.39576,-85.37425,AG,1000,2015-07-16,2020-03-05,3.7,8,992,9.2,41,163.61,390.15,TRUE
kelloggmiscanthus,42.39528,-85.37561,AG,1000,2015-07-16,2020-03-05,3.7,8,992,9.2,42,163.61,390.15,TRUE
