model_fitting_sets,timeseries_id
allsites,1
allsites,2
allsites,3
allsites,4
allsites,5
allsites,6
allsites,7
allsites,9
allsites,10
allsites,11
allsites,12
allsites,13
allsites,14
allsites,15
allsites,17
allsites,18
allsites,20
allsites,21
allsites,22
allsites,23
allsites,24
allsites,25
allsites,26
allsites,27
allsites,28
allsites,30
allsites,31
allsites,33
allsites,34
allsites,35
allsites,36
allsites,37
allsites,38
allsites,39
allsites,40
allsites,41
allsites,42
allsites,43
allsites,44
allsites,45
allsites,46
allsites,47
allsites,48
allsites,49
allsites,50
allsites,51
allsites,52
allsites,53
allsites,54
allsites,55
allsites,56
allsites,57
allsites,58
allsites,59
allsites,60
allsites,61
allsites,62
allsites,63
allsites,64
allsites,65
allsites,66
allsites,67
allsites,68
allsites,69
allsites,70
allsites,71
allsites,73
allsites,74
allsites,76
allsites,77
allsites,78
allsites,79
allsites,80
allsites,81
allsites,92
allsites,95
allsites,96
allsites,97
allsites,98
allsites,99
allsites,100
allsites,101
allsites,103
allsites,104
allsites,105
allsites,106
allsites,107
allsites,108
allsites,109
vegtype_AG,2
vegtype_AG,3
vegtype_AG,4
vegtype_AG,5
vegtype_AG,6
vegtype_AG,7
vegtype_AG,12
vegtype_AG,20
vegtype_AG,22
vegtype_AG,23
vegtype_AG,24
vegtype_AG,25
vegtype_AG,26
vegtype_AG,27
vegtype_AG,38
vegtype_AG,39
vegtype_AG,40
vegtype_AG,41
vegtype_AG,42
vegtype_AG,43
vegtype_AG,49
vegtype_AG,50
vegtype_AG,51
vegtype_AG,53
vegtype_AG,54
vegtype_AG,55
vegtype_AG,56
vegtype_AG,61
vegtype_AG,66
vegtype_AG,76
vegtype_AG,79
vegtype_AG,81
vegtype_AG,96
vegtype_AG,100
vegtype_AG,101
vegtype_AG,103
vegtype_AG,104
vegtype_AG,106
vegtype_GR,1
vegtype_GR,9
vegtype_GR,11
vegtype_GR,13
vegtype_GR,14
vegtype_GR,15
vegtype_GR,17
vegtype_GR,18
vegtype_GR,28
vegtype_GR,31
vegtype_GR,36
vegtype_GR,44
vegtype_GR,46
vegtype_GR,47
vegtype_GR,52
vegtype_GR,57
vegtype_GR,58
vegtype_GR,59
vegtype_GR,60
vegtype_GR,62
vegtype_GR,63
vegtype_GR,64
vegtype_GR,65
vegtype_GR,67
vegtype_GR,68
vegtype_GR,69
vegtype_GR,71
vegtype_GR,74
vegtype_GR,77
vegtype_GR,80
vegtype_GR,95
vegtype_GR,97
vegtype_GR,99
vegtype_GR,105
vegtype_GR,107
vegtype_GR,108
vegtype_GR,109
vegtype_SH,10
vegtype_SH,21
vegtype_SH,30
vegtype_SH,33
vegtype_SH,34
vegtype_SH,35
vegtype_SH,37
vegtype_SH,45
vegtype_SH,48
vegtype_SH,70
vegtype_SH,73
vegtype_SH,78
vegtype_SH,92
vegtype_SH,98
ecoregion-vegtype_NWForests_GR,1
ecoregion-vegtype_NWForests_GR,11
ecoregion-vegtype_NWForests_GR,17
ecoregion-vegtype_NWForests_GR,18
ecoregion-vegtype_NWForests_GR,57
ecoregion-vegtype_NWForests_GR,58
ecoregion-vegtype_NWForests_GR,59
ecoregion-vegtype_ETempForests_AG,2
ecoregion-vegtype_ETempForests_AG,3
ecoregion-vegtype_ETempForests_AG,4
ecoregion-vegtype_ETempForests_AG,5
ecoregion-vegtype_ETempForests_AG,6
ecoregion-vegtype_ETempForests_AG,25
ecoregion-vegtype_ETempForests_AG,26
ecoregion-vegtype_ETempForests_AG,27
ecoregion-vegtype_ETempForests_AG,38
ecoregion-vegtype_ETempForests_AG,39
ecoregion-vegtype_ETempForests_AG,40
ecoregion-vegtype_ETempForests_AG,41
ecoregion-vegtype_ETempForests_AG,42
ecoregion-vegtype_ETempForests_AG,43
ecoregion-vegtype_ETempForests_AG,51
ecoregion-vegtype_ETempForests_AG,96
ecoregion-vegtype_ETempForests_AG,100
ecoregion-vegtype_ETempForests_AG,103
ecoregion-vegtype_ETempForests_AG,104
ecoregion-vegtype_ETempForests_AG,106
ecoregion-vegtype_ETempForests_GR,9
ecoregion-vegtype_ETempForests_GR,60
ecoregion-vegtype_ETempForests_GR,80
ecoregion-vegtype_ETempForests_GR,95
ecoregion-vegtype_ETempForests_GR,105
ecoregion-vegtype_ETempForests_GR,108
ecoregion-vegtype_GrPlains_AG,7
ecoregion-vegtype_GrPlains_AG,12
ecoregion-vegtype_GrPlains_AG,20
ecoregion-vegtype_GrPlains_AG,49
ecoregion-vegtype_GrPlains_AG,50
ecoregion-vegtype_GrPlains_AG,53
ecoregion-vegtype_GrPlains_AG,54
ecoregion-vegtype_GrPlains_AG,55
ecoregion-vegtype_GrPlains_AG,56
ecoregion-vegtype_GrPlains_AG,61
ecoregion-vegtype_GrPlains_AG,66
ecoregion-vegtype_GrPlains_AG,76
ecoregion-vegtype_GrPlains_AG,81
ecoregion-vegtype_GrPlains_GR,13
ecoregion-vegtype_GrPlains_GR,14
ecoregion-vegtype_GrPlains_GR,15
ecoregion-vegtype_GrPlains_GR,36
ecoregion-vegtype_GrPlains_GR,46
ecoregion-vegtype_GrPlains_GR,47
ecoregion-vegtype_GrPlains_GR,52
ecoregion-vegtype_GrPlains_GR,62
ecoregion-vegtype_GrPlains_GR,63
ecoregion-vegtype_GrPlains_GR,64
ecoregion-vegtype_GrPlains_GR,65
ecoregion-vegtype_GrPlains_GR,67
ecoregion-vegtype_GrPlains_GR,74
ecoregion-vegtype_GrPlains_GR,97
ecoregion-vegtype_GrPlains_GR,107
ecoregion-vegtype_NADeserts_GR,28
ecoregion-vegtype_NADeserts_GR,68
ecoregion-vegtype_NADeserts_GR,69
ecoregion-vegtype_NADeserts_GR,71
ecoregion-vegtype_NADeserts_GR,77
ecoregion-vegtype_NADeserts_SH,10
ecoregion-vegtype_NADeserts_SH,30
ecoregion-vegtype_NADeserts_SH,33
ecoregion-vegtype_NADeserts_SH,34
ecoregion-vegtype_NADeserts_SH,35
ecoregion-vegtype_NADeserts_SH,70
ecoregion-vegtype_NADeserts_SH,73
ecoregion-vegtype_NADeserts_SH,78
