fitting_set,model,timeseries_id,rmse,r2,n,percent_na
allsites,NaiveMAPCorrected,1,0.22123755275178997,-0.9301682413087649,4380,0.693607305936073
allsites,NaiveMAPCorrected,2,0.1648797936509418,0.2006929387398011,4380,0.8029680365296804
allsites,NaiveMAPCorrected,3,0.15079986969732356,-0.014017428831123224,4380,0.7605022831050229
allsites,NaiveMAPCorrected,4,0.1881112785836002,-0.33240834050656054,4380,0.7598173515981735
allsites,NaiveMAPCorrected,5,0.17710033435416725,-0.10986644857601391,4380,0.7605022831050229
allsites,NaiveMAPCorrected,6,0.17848977748468006,-0.12599663941744166,4380,0.7591324200913242
allsites,NaiveMAPCorrected,7,0.12991567817014124,0.24280483871434988,4380,0.708675799086758
allsites,NaiveMAPCorrected,9,0.17916325989633675,0.12893831998407346,4380,0.5529680365296804
allsites,NaiveMAPCorrected,10,0.1159989091579156,-2.0190049146315854,4380,0.46141552511415523
allsites,NaiveMAPCorrected,11,0.09154304655621648,0.08328197244620528,4380,0.4166666666666667
allsites,NaiveMAPCorrected,12,0.05661718692648134,0.4272302673734498,4380,0.7611872146118721
allsites,NaiveMAPCorrected,13,0.056716931354813635,0.43365577681339196,4380,0.7611872146118721
allsites,NaiveMAPCorrected,14,0.057352527910978585,0.39750026964642793,4380,0.7577625570776255
allsites,NaiveMAPCorrected,15,0.07319108407455083,0.1710311604671234,4380,0.6908675799086758
allsites,NaiveMAPCorrected,17,0.10767355926432358,0.07124275298696947,4380,0.4166666666666667
allsites,NaiveMAPCorrected,18,0.17304433462143662,-1.6679640785410474,4380,0.4166666666666667
allsites,NaiveMAPCorrected,20,0.17553042091771287,-1.0745527222959659,4380,0.7073059360730594
allsites,NaiveMAPCorrected,21,0.17454497955136689,-0.5168134269834748,4380,0.693607305936073
allsites,NaiveMAPCorrected,22,0.20661692303140475,-0.04766234138782943,4380,0.7168949771689498
allsites,NaiveMAPCorrected,23,0.19562617814482877,-0.1027198319693563,4380,0.7168949771689498
allsites,NaiveMAPCorrected,24,0.18075459131371557,-0.15338197357927852,4380,0.7666666666666667
allsites,NaiveMAPCorrected,25,0.1912904183412848,-0.21218184929251427,4380,0.70662100456621
